pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Luminal B	7962	0.5218332037329672	0.0825016376323071	0.5218332037329672	5.0	4.0	4.0	0.0	0.10436664074659344	0.10436664074659344	0.08372523384360389	1.0	ENSG00000140443.15	ENSG00000140443	IGF1R	protein_coding	2.0	0.4	positive	6
Luminal B	17363	0.44199198484420776	0.0804431348776	0.44199198484420776	5.0	3.0	3.0	0.0	0.08839839696884155	0.08839839696884155	0.1017002359194603	1.0	ENSG00000197261.11	ENSG00000197261	C6orf141	protein_coding	1.0	0.2	positive	7
Luminal B	13697	0.3670030906796453	0.05396017842580259	0.3670030906796453	5.0	4.0	4.0	0.0	0.07340061813592906	0.07340061813592906	0.08219173424396185	1.0	ENSG00000174469.23	ENSG00000174469	CNTNAP2	protein_coding	0.0	0.0	positive	8
Luminal B	11040	0.3221129477024078	0.10375675107753408	0.3221129477024078	5.0	1.0	1.0	0.0	0.06442258954048155	0.06442258954048155	0.1440532894990837	1.0	ENSG00000163536.13	ENSG00000163536	SERPINI1	protein_coding	1.0	0.2	positive	9
Luminal B	8080	0.3111880123615265	0.09683797903751756	0.3111880123615265	5.0	1.0	1.0	0.0	0.062237602472305295	0.062237602472305295	0.13916750988468363	1.0	ENSG00000141293.16	ENSG00000141293	SKAP1	protein_coding	1.0	0.2	positive	10
Luminal B	6165	0.2911635525524616	0.04350457358358374	0.2911635525524616	5.0	3.0	3.0	0.0	0.05823271051049232	0.05823271051049232	0.08146982680199727	1.0	ENSG00000129654.8	ENSG00000129654	FOXJ1	protein_coding	2.0	0.4	positive	11
Luminal B	8852	0.28451430797576904	0.054186364617081484	0.28451430797576904	5.0	2.0	2.0	0.0	0.05690286159515381	0.05690286159515381	0.09746369366140313	1.0	ENSG00000146476.11	ENSG00000146476	ARMT1	protein_coding	2.0	0.4	positive	12
Luminal B	17470	0.27950374037027337	0.03618704908531558	0.27950374037027337	4.0	3.0	3.0	0.0	0.05590074807405467	0.05590074807405467	0.07169829305694966	1.0	ENSG00000197594.13	ENSG00000197594	ENPP1	protein_coding	1.0	0.2	positive	13
Luminal B	8099	0.22793183848261822	0.02100971449716543	0.22793183848261822	5.0	3.0	3.0	0.0	0.04558636769652365	0.04558636769652365	0.05152458126552839	1.0	ENSG00000141424.13	ENSG00000141424	SLC39A6	protein_coding	2.0	0.4	positive	14
Luminal B	9622	0.2257868247106668	0.01494514773103148	0.2257868247106668	5.0	5.0	5.0	0.0	0.04515736494213336	0.04515736494213336	0.0344572549996601	1.0	ENSG00000153132.13	ENSG00000153132	CLGN	protein_coding	0.0	0.0	positive	15
Luminal B	3053	0.2127530798316001	0.025106596193404086	0.2127530798316001	5.0	2.0	2.0	0.0	0.042550615966320024	0.042550615966320024	0.06335183816953902	1.0	ENSG00000105219.10	ENSG00000105219	CCNP	protein_coding	1.0	0.2	positive	16
Luminal B	47415	0.20330153033137288	0.01126967767006963	0.20330153033137288	5.0	5.0	5.0	0.0	0.040660306066274576	0.040660306066274576	0.027401529259577853	1.0	ENSG00000263639.7	ENSG00000263639	MSMB	protein_coding	1.0	0.2	positive	17
Luminal B	12687	0.2029342800378799	0.04118232201449266	0.2029342800378799	5.0	1.0	1.0	0.0	0.04058685600757598	0.04058685600757598	0.0907549690259356	1.0	ENSG00000169862.19	ENSG00000169862	CTNND2	protein_coding	0.0	0.0	positive	18
Luminal B	16945	0.190308205783367	0.01444413774984336	0.190308205783367	5.0	3.0	3.0	0.0	0.0380616411566734	0.0380616411566734	0.04242845481556714	1.0	ENSG00000189366.9	ENSG00000189366	ALG1L	protein_coding	1.0	0.2	positive	19
Luminal B	5494	0.1891636569052934	0.02609680769434386	0.1891636569052934	4.0	2.0	2.0	0.0	0.03783273138105868	0.03783273138105868	0.06881175385714847	1.0	ENSG00000124237.6	ENSG00000124237	C20orf85	protein_coding	0.0	0.0	positive	20
Luminal B	11448	-1.8543747514486313	0.8557776621531101	1.8543747514486313	5.0	5.0	0.0	5.0	-0.3708749502897263	0.3708749502897263	0.20496128804671596	1.0	ENSG00000164825.4	ENSG00000164825	DEFB1	protein_coding	5.0	1.0	negative	1
Luminal B	6022	-1.5525322854518888	0.5071264771191871	1.5525322854518888	5.0	5.0	0.0	5.0	-0.3105064570903778	0.3105064570903778	0.07914413693555271	1.0	ENSG00000128422.17	ENSG00000128422	KRT17	protein_coding	5.0	1.0	negative	2
Luminal B	8167	-1.0629627108573914	0.2425053516183317	1.0629627108573914	5.0	5.0	0.0	5.0	-0.21259254217147827	0.21259254217147827	0.06427948094779715	1.0	ENSG00000141750.7	ENSG00000141750	STAC2	protein_coding	5.0	1.0	negative	3
Luminal B	7735	-0.9940821081399918	0.2588112868978725	0.9940821081399918	5.0	4.0	0.0	4.0	-0.19881642162799834	0.19881642162799834	0.12366430300723652	1.0	ENSG00000138772.13	ENSG00000138772	ANXA3	protein_coding	4.0	0.8	negative	4
Luminal B	5452	-0.7783844992518422	0.15333078653139584	0.7783844992518422	5.0	5.0	0.0	5.0	-0.15567689985036842	0.15567689985036842	0.08965810169232846	1.0	ENSG00000124107.5	ENSG00000124107	SLPI	protein_coding	4.0	0.8	negative	5
Luminal B	9784	-0.6724102478474376	0.15062950615868403	0.6724102478474376	5.0	5.0	0.0	5.0	-0.13448204956948753	0.13448204956948753	0.12268088469341254	1.0	ENSG00000154639.19	ENSG00000154639	CXADR	protein_coding	3.0	0.6	negative	6
Luminal B	10893	-0.5884427260607479	0.10388253861057647	0.5884427260607479	5.0	5.0	0.0	5.0	-0.11768854521214958	0.11768854521214958	0.09304511034951755	1.0	ENSG00000163017.14	ENSG00000163017	ACTG2	protein_coding	3.0	0.6	negative	7
Luminal B	11253	-0.5359116569161413	0.09237261840158197	0.5359116569161413	5.0	5.0	0.0	5.0	-0.10718233138322826	0.10718233138322826	0.09345099999178871	1.0	ENSG00000164120.14	ENSG00000164120	HPGD	protein_coding	3.0	0.6	negative	8
Luminal B	13510	-0.49576149135828007	0.1860124269733055	0.49576149135828007	5.0	2.0	0.0	2.0	-0.09915229827165602	0.09915229827165602	0.18497062990549898	1.0	ENSG00000173432.12	ENSG00000173432	SAA1	protein_coding	2.0	0.4	negative	9
Luminal B	1472	-0.4457584880292415	0.11934458935273567	0.4457584880292415	5.0	3.0	0.0	3.0	-0.0891516976058483	0.0891516976058483	0.14107131478680612	1.0	ENSG00000079689.14	ENSG00000079689	SCGN	protein_coding	2.0	0.4	negative	10
Luminal B	51741	-0.3623543977737426	0.05218795046579493	0.3623543977737426	5.0	3.0	0.0	3.0	-0.07247087955474853	0.07247087955474853	0.08051057158628391	1.0	ENSG00000272398.6	ENSG00000272398	CD24	protein_coding	2.0	0.4	negative	11
Luminal B	1625	-0.3145034611225127	0.03454209313552734	0.3145034611225127	5.0	3.0	0.0	3.0	-0.06290069222450254	0.06290069222450254	0.06074456297463867	1.0	ENSG00000084207.18	ENSG00000084207	GSTP1	protein_coding	3.0	0.6	negative	12
Luminal B	17357	-0.29870640276931226	0.0817999397636894	0.29870640276931226	5.0	3.0	0.0	3.0	-0.05974128055386245	0.05974128055386245	0.12644646767764303	1.0	ENSG00000197249.14	ENSG00000197249	SERPINA1	protein_coding	1.0	0.2	negative	13
Luminal B	6726	-0.2874623760581016	0.07200975248206648	0.2874623760581016	5.0	2.0	0.0	2.0	-0.05749247521162032	0.05749247521162032	0.11777396672468898	1.0	ENSG00000133134.12	ENSG00000133134	BEX2	protein_coding	1.0	0.2	negative	14
Luminal B	7448	-0.273412740905769	0.0383324885445867	0.273412740905769	5.0	4.0	0.0	4.0	-0.0546825481811538	0.0546825481811538	0.07645518812785969	1.0	ENSG00000137285.10	ENSG00000137285	TUBB2B	protein_coding	1.0	0.2	negative	15
